"url_bollettino","data","codice_regione","denominazione_regione","codice_provincia","denominazione:provincia","sigla_provincia","lat","long","eta","nuovi_casi","casi_totali","tipo_infezione"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_01.pdf",2015-07-29,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,"NA",1,1,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_01.pdf",2015-07-29,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,"NA",1,1,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_02-4.pdf",2015-08-05,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,"NA",1,2,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_02-4.pdf",2015-08-05,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,"NA",1,1,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_02-4.pdf",2015-08-05,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,"NA",0,1,"donatore_sangue"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"<=14",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"15-44",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"45-64",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"65-74",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,">=75",1,1,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,"<=14",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,"15-44",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,"45-64",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,"65-74",1,1,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,">=75",2,2,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,"<=14",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,"15-44",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,"45-64",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,"65-74",1,1,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,">=75",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,"<=14",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,"15-44",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,"45-64",1,1,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,"65-74",1,1,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,">=75",1,1,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,"<=14",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,"15-44",0,0,"neuroinvasiva"
"https://github.com/fbranda/west-nile/blob/main/2015/bollettini/WN_News_2015_03.pdf",2015-09-02,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,"45-64",0,0,"neuroinvasiva"
