"url_bollettino","data","host","nuovi_casi","casi_totali"
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_01.pdf",2019-07-31,"uomini",1,1
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_01.pdf",2019-07-31,"equidi",1,1
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_01.pdf",2019-07-31,"uccelli bersaglio",0,0
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_01.pdf",2019-07-31,"uccelli selvatici",0,0
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_01.pdf",2019-07-31,"zanzare",1,1
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_02.pdf",2019-08-07,"uomini",3,4
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_02.pdf",2019-08-07,"equidi",0,1
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_02.pdf",2019-08-07,"uccelli bersaglio",0,0
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_02.pdf",2019-08-07,"uccelli selvatici",0,0
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_02.pdf",2019-08-07,"zanzare",4,5
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_03.pdf",2019-08-21,"uomini",10,14
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_03.pdf",2019-08-21,"equidi",1,2
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_03.pdf",2019-08-21,"uccelli bersaglio",11,11
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_03.pdf",2019-08-21,"uccelli selvatici",1,1
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_03.pdf",2019-08-21,"zanzare",8,13
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_04.pdf",2019-08-28,"uomini",2,16
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_04.pdf",2019-08-28,"equidi",1,3
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_04.pdf",2019-08-28,"uccelli bersaglio",1,12
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_04.pdf",2019-08-28,"uccelli selvatici",0,1
