url_bollettino,data,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,specie,nuovi_casi,casi_totali
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_03.pdf,2019-08-21T00:00:00Z,5,Veneto,28,Padova,PD,45.40692987,11.87608718,Tortora,1,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_04.pdf,2019-08-28T00:00:00Z,5,Veneto,28,Padova,PD,45.40692987,11.87608718,Tortora,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_05.pdf,2019-09-04T00:00:00Z,1,Piemonte,5,Asti,AT,44.89912921,8.204142547,Garzetta,1,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_05.pdf,2019-09-04T00:00:00Z,5,Veneto,28,Padova,PD,45.40692987,11.87608718,Tortora,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_06.pdf,2019-09-11T00:00:00Z,1,Piemonte,5,Asti,AT,44.89912921,8.204142547,Garzetta,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_06.pdf,2019-09-11T00:00:00Z,8,Emilia-Romagna,38,Ferrara,FE,44.83599085,11.61868934,Tortora,1,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_06.pdf,2019-09-11T00:00:00Z,5,Veneto,28,Padova,PD,45.40692987,11.87608718,Tortora,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_06.pdf,2019-09-11T00:00:00Z,5,Veneto,27,Venezia,VE,45.43490485,12.33845213,Garzetta,1,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_07.pdf,2019-09-18T00:00:00Z,1,Piemonte,5,Asti,AT,44.89912921,8.204142547,Garzetta,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_07.pdf,2019-09-18T00:00:00Z,8,Emilia-Romagna,38,Ferrara,FE,44.83599085,11.61868934,Colombaccio,1,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_07.pdf,2019-09-18T00:00:00Z,8,Emilia-Romagna,38,Ferrara,FE,44.83599085,11.61868934,Gheppio,1,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_07.pdf,2019-09-18T00:00:00Z,8,Emilia-Romagna,38,Ferrara,FE,44.83599085,11.61868934,Tortora,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_07.pdf,2019-09-18T00:00:00Z,5,Veneto,28,Padova,PD,45.40692987,11.87608718,Tortora,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_07.pdf,2019-09-18T00:00:00Z,5,Veneto,27,Venezia,VE,45.43490485,12.33845213,Garzetta,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_08.pdf,2019-09-25T00:00:00Z,1,Piemonte,5,Asti,AT,44.89912921,8.204142547,Garzetta,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_08.pdf,2019-09-25T00:00:00Z,8,Emilia-Romagna,38,Ferrara,FE,44.83599085,11.61868934,Colombaccio,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_08.pdf,2019-09-25T00:00:00Z,8,Emilia-Romagna,38,Ferrara,FE,44.83599085,11.61868934,Gheppio,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_08.pdf,2019-09-25T00:00:00Z,8,Emilia-Romagna,38,Ferrara,FE,44.83599085,11.61868934,Civetta,1,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_08.pdf,2019-09-25T00:00:00Z,8,Emilia-Romagna,38,Ferrara,FE,44.83599085,11.61868934,Tortora,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_08.pdf,2019-09-25T00:00:00Z,5,Veneto,28,Padova,PD,45.40692987,11.87608718,Colombaccio,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_08.pdf,2019-09-25T00:00:00Z,5,Veneto,27,Venezia,VE,45.43490485,12.33845213,Garzetta,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_09.pdf,2019-10-02T00:00:00Z,1,Piemonte,5,Asti,AT,44.89912921,8.204142547,Garzetta,0,1
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_09.pdf,2019-10-02T00:00:00Z,8,Emilia-Romagna,38,Ferrara,FE,44.83599085,11.61868934,Colombaccio,0,1
