url_bollettino,data,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,nuovi_casi,casi_totali,nuovi_morti_abbattuti,totale_morti_abbattuti,equidi_presenti_focolaio
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_04.pdf,2020-08-12T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,1,1,0,0,40
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_05.pdf,2020-08-19T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,0,1,0,0,40
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_05.pdf,2020-08-19T00:00:00Z,20,Sardegna,90,Sassari,SS,40.72667657,8.559667131,1,1,0,0,7
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_06.pdf,2020-08-26T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,0,1,0,0,40
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_06.pdf,2020-08-26T00:00:00Z,3,Lombardia,19,Cremona,CR,45.13336675,10.02420865,1,1,0,0,3
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_06.pdf,2020-08-26T00:00:00Z,8,Emilia-Romagna,33,Piacenza,PC,45.05193462,9.692632596,1,1,1,1,36
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_06.pdf,2020-08-26T00:00:00Z,20,Sardegna,90,Sassari,SS,40.72667657,8.559667131,0,1,0,0,7
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_06.pdf,2020-08-26T00:00:00Z,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,1,1,0,0,17
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_07.pdf,2020-09-02T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,0,1,0,0,40
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_07.pdf,2020-09-02T00:00:00Z,3,Lombardia,19,Cremona,CR,45.13336675,10.02420865,0,1,0,0,3
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_07.pdf,2020-09-02T00:00:00Z,8,Emilia-Romagna,33,Piacenza,PC,45.05193462,9.692632596,0,1,0,1,36
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_07.pdf,2020-09-02T00:00:00Z,20,Sardegna,90,Sassari,SS,40.72667657,8.559667131,0,1,0,0,7
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_07.pdf,2020-09-02T00:00:00Z,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,0,1,0,0,17
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_08.pdf,2020-09-09T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,0,1,0,0,40
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_08.pdf,2020-09-09T00:00:00Z,3,Lombardia,19,Cremona,CR,45.13336675,10.02420865,0,1,0,0,3
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_08.pdf,2020-09-09T00:00:00Z,8,Emilia-Romagna,33,Piacenza,PC,45.05193462,9.692632596,0,1,0,1,36
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_08.pdf,2020-09-09T00:00:00Z,20,Sardegna,90,Sassari,SS,40.72667657,8.559667131,0,1,0,0,7
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_08.pdf,2020-09-09T00:00:00Z,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,0,1,0,0,17
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_09.pdf,2020-09-16T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,0,1,0,0,40
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_09.pdf,2020-09-16T00:00:00Z,3,Lombardia,19,Cremona,CR,45.13336675,10.02420865,1,2,0,0,5
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_09.pdf,2020-09-16T00:00:00Z,8,Emilia-Romagna,33,Piacenza,PC,45.05193462,9.692632596,0,1,0,1,36
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_09.pdf,2020-09-16T00:00:00Z,20,Sardegna,90,Sassari,SS,40.72667657,8.559667131,0,1,0,0,7
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_09.pdf,2020-09-16T00:00:00Z,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,0,1,0,0,17
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_10.pdf,2020-09-23T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,2,3,0,0,54
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_10.pdf,2020-09-23T00:00:00Z,3,Lombardia,17,Brescia,BS,45.53993052,10.21910323,1,1,0,0,30
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_10.pdf,2020-09-23T00:00:00Z,3,Lombardia,19,Cremona,CR,45.13336675,10.02420865,0,2,0,0,5
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_10.pdf,2020-09-23T00:00:00Z,8,Emilia-Romagna,36,Modena,MO,44.64600009,10.92615487,1,1,0,0,31
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_10.pdf,2020-09-23T00:00:00Z,8,Emilia-Romagna,33,Piacenza,PC,45.05193462,9.692632596,0,1,0,1,36
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_10.pdf,2020-09-23T00:00:00Z,20,Sardegna,90,Sassari,SS,40.72667657,8.559667131,0,1,0,0,7
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_10.pdf,2020-09-23T00:00:00Z,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,0,1,0,0,17
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_11.pdf,2020-09-30T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,"NA",2,0,0,54
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_11.pdf,2020-09-30T00:00:00Z,3,Lombardia,17,Brescia,BS,45.53993052,10.21910323,2,4,1,1,110
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_11.pdf,2020-09-30T00:00:00Z,3,Lombardia,19,Cremona,CR,45.13336675,10.02420865,1,2,0,0,5
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_11.pdf,2020-09-30T00:00:00Z,8,Emilia-Romagna,36,Modena,MO,44.64600009,10.92615487,0,1,0,0,31
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_11.pdf,2020-09-30T00:00:00Z,8,Emilia-Romagna,33,Piacenza,PC,45.05193462,9.692632596,0,1,0,1,36
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_11.pdf,2020-09-30T00:00:00Z,20,Sardegna,90,Sassari,SS,40.72667657,8.559667131,0,1,0,0,7
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_11.pdf,2020-09-30T00:00:00Z,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,0,1,0,0,17
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_12.pdf,2020-10-07T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,0,2,0,0,54
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_12.pdf,2020-10-07T00:00:00Z,3,Lombardia,17,Brescia,BS,45.53993052,10.21910323,0,4,0,1,110
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_12.pdf,2020-10-07T00:00:00Z,3,Lombardia,19,Cremona,CR,45.13336675,10.02420865,0,2,0,0,5
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_12.pdf,2020-10-07T00:00:00Z,8,Emilia-Romagna,36,Modena,MO,44.64600009,10.92615487,0,1,0,0,31
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_12.pdf,2020-10-07T00:00:00Z,8,Emilia-Romagna,33,Piacenza,PC,45.05193462,9.692632596,1,2,0,1,50
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_12.pdf,2020-10-07T00:00:00Z,20,Sardegna,90,Sassari,SS,40.72667657,8.559667131,0,1,0,0,7
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_12.pdf,2020-10-07T00:00:00Z,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,0,1,0,0,17
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_13.pdf,2020-10-14T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,0,2,0,0,54
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_13.pdf,2020-10-14T00:00:00Z,3,Lombardia,17,Brescia,BS,45.53993052,10.21910323,0,4,0,1,110
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_13.pdf,2020-10-14T00:00:00Z,3,Lombardia,19,Cremona,CR,45.13336675,10.02420865,0,2,0,0,5
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_13.pdf,2020-10-14T00:00:00Z,8,Emilia-Romagna,36,Modena,MO,44.64600009,10.92615487,0,1,0,0,31
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_13.pdf,2020-10-14T00:00:00Z,8,Emilia-Romagna,33,Piacenza,PC,45.05193462,9.692632596,0,2,0,1,50
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_13.pdf,2020-10-14T00:00:00Z,20,Sardegna,90,Sassari,SS,40.72667657,8.559667131,0,1,0,0,7
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_13.pdf,2020-10-14T00:00:00Z,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,0,1,0,0,17
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_14.pdf,2020-10-21T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,0,2,0,0,54
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_14.pdf,2020-10-21T00:00:00Z,3,Lombardia,17,Brescia,BS,45.53993052,10.21910323,0,1,0,1,110
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_14.pdf,2020-10-21T00:00:00Z,3,Lombardia,19,Cremona,CR,45.13336675,10.02420865,0,1,0,0,5
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_14.pdf,2020-10-21T00:00:00Z,8,Emilia-Romagna,36,Modena,MO,44.64600009,10.92615487,0,2,0,0,31
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_14.pdf,2020-10-21T00:00:00Z,8,Emilia-Romagna,33,Piacenza,PC,45.05193462,9.692632596,0,2,0,1,50
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_14.pdf,2020-10-21T00:00:00Z,20,Sardegna,90,Sassari,SS,40.72667657,8.559667131,0,1,0,0,7
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_14.pdf,2020-10-21T00:00:00Z,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,0,2,0,0,17
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_15.pdf,2020-10-28T00:00:00Z,3,Lombardia,16,Bergamo,BG,45.69441368,9.668424528,0,2,0,0,54
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_15.pdf,2020-10-28T00:00:00Z,3,Lombardia,17,Brescia,BS,45.53993052,10.21910323,0,4,0,1,110
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_15.pdf,2020-10-28T00:00:00Z,3,Lombardia,19,Cremona,CR,45.13336675,10.02420865,0,2,0,0,5
https://github.com/fbranda/west-nile/blob/main/2020/bollettini/WN_News_2020_15.pdf,2020-10-28T00:00:00Z,8,Emilia-Romagna,36,Modena,MO,44.64600009,10.92615487,0,1,0,0,31
