"url_bollettino","data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","specie","nuovi_casi","casi_totali"
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_04.pdf",2022-07-12,20,"Sardegna",91,"Nuoro","NU",40.32318834,9.330296393,"Gheppio",1,1
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_04.pdf",2022-07-12,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"Corvo",1,1
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_05.pdf",2022-07-19,20,"Sardegna",91,"Nuoro","NU",40.32318834,9.330296393,"Gheppio",0,1
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_05.pdf",2022-07-19,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"Corvo",0,1
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,20,"Sardegna",91,"Nuoro","NU",40.32318834,9.330296393,"Gheppio",0,1
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,"Civetta",1,1
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,"Cormorano",1,1
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,"Gufo",1,1
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"Corvo",0,1
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_06.pdf",2022-07-26,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"Civetta",1,1
"https://github.com/fbranda/west-nile/blob/main/2022/bollettini/WN_News_2022_07.pdf",2022-08-02,20,"Sardegna",91,"Nuoro","NU",40.32318834,9.330296393,"Gheppio",0,1
