"data","host","nuovi_casi","casi_totali"
2023-05-24,"uomini","0",0
2023-05-24,"equidi","0",0
2023-05-24,"uccelli bersaglio","1",1
2023-05-24,"uccelli selvatici","0",0
2023-05-24,"zanzare","2",2
2023-06-21,"uomini","0",0
2023-06-21,"equidi","0",0
2023-06-21,"uccelli bersaglio","1",2
2023-06-21,"uccelli selvatici","0",0
2023-06-21,"zanzare","NA",1
2023-07-05,"uomini","0",0
2023-07-05,"equidi","0",0
2023-07-05,"uccelli bersaglio","3",5
2023-07-05,"uccelli selvatici","0",0
2023-07-05,"zanzare","2",3
2023-07-12,"uomini","1",1
2023-07-12,"equidi","0",0
2023-07-12,"uccelli bersaglio","5",10
2023-07-12,"uccelli selvatici","1",1
2023-07-12,"zanzare","1",4
